contract_name,clause_number,title,text,cluster
Template_Employment_Agreement.pdf,2,"Duties, Obligations and Powers of the Employee","2. 
Duties, Obligations and Powers of the Employee 
2.1 
The Employee shall fulfil such general duties and responsibilities as are consistent with 
such position and as may reasonably be assigned to him from time to time by the 
Board2. 
2.2 
The Employee shall, during the Term:  
2.2.1 
abide by the rules and regulations of the Company as are in force; 
2.2.2 
subject to clause 2.2.1, do all such acts and deeds which are required to be 
performed in capacity of employee of the Company and abide by all the laws 
as are in force, necessary for carrying out the Business in India and as may be 
reasonably assigned to him by the Board from time to time;  
2.2.3 
keep the Board informed about decisions and actions taken by him on a 
quarterly basis.  
2.2.4 
use all reasonable endeavours to promote the interests of the Company and 
furtherance of the Business of the Company and devote a reasonable period of 
his working time to the best of his ability as is reasonably required for 
discharging the duties and responsibilities as a director of the Company. 
2.2.5 
devote full time, attention and energies to the Business of the Company and 
shall not engage in any other business. 
2.2.6 
at all times while performing services for the Company, devote his reasonable 
best efforts, skill and ability and shall perform his responsibilities as an 
executive of the Company in a competent and professional manner.  
2.2.7 
be primarily responsible (without any limitation) for such operations and 
activities of the Company, details of which are referred under Schedule I to 
this Agreement. 
2.3 
The Employee agrees that he shall not participate in any activity that constitutes an 
actual or has a substantial likelihood of being in conflict of interest with his 
employment with the Company or with the Business of the Company. 
2.4 
The Employee agrees to abide by the rules, regulations, instructions, personnel 
policies and the policies of the Company and any change thereof which may be 
adopted by the Company from time to time. 
2.5 
The Employee shall not, during the Term:  
                                                 
2 Can be replaced by Supervisory Authority 
[NAME OF COMPANY] 
[EMPLOYEE] 
 
 
 
 
 
4 
2.5.1 
do anything contrary to the rules, regulations, instructions, personnel policies 
and the policies of the Company; 
2.5.2 
sign and execute any papers, documents, filings, returns, applications, 
writings, reports on behalf of the Company if it is not in accordance with the 
provisions of the Memorandum of Association, Articles of Association of the 
Company;  
2.5.3 
do anything which may, bring the Company into disrepute or harm its goodwill 
or reputation; 
2.5.4 
carry on or engage in, directly or indirectly, whether through partnership or as 
joint venture partner, collaborator or agent or in any other manner, any 
business that competes with the Business in any manner whatsoever, during 
the continuance of this Agreement except with the prior written approval of 
the Board, and for a period of 1 (one) year from the date of termination of this 
Agreement;  
2.5.5 
disclose to any Person any Confidential Information which may come to his 
knowledge while discharging his duties as an Employee in the Company 
(except where such disclosure is properly authorised by the Board) or use or 
attempt to use any Confidential Information in any manner which is not in the 
proper performance of his services or which may or is likely to injure or cause 
loss directly or indirectly to the Company or its Business;  
2.5.6 
solicit or endeavour to entice away from or discourage from dealing with the 
Company, either directly or indirectly, any Person who is or has at any time 
during the Term, been a vendor, supplier, service provider, contractor, 
customer, client, or employee of the Company during the continuance of this 
Agreement and for a period of 1 (one) year from the date of termination of 
this Agreement.  
2.6 
The Employee further acknowledges that each of the restrictions contained above in 
Clause 2 is separate and is to be construed separately and that he understands the full 
effect of the covenants and restrictions in Clause 2 and considers the same to be 
reasonable in the circumstances and that irreparable harm could be caused to the 
Company and/or the Affiliate by a breach of such covenants and restrictions. The 
Employee further agrees and acknowledges that, if any such restriction is found to be 
void, this shall not affect the validity of any other restriction and if that restriction 
could be rendered valid by alteration and/or deletion of some part thereof then such 
restriction shall apply with such alteration and/or deletion as may be necessary to 
make it valid and effective.",3
Template_Employment_Agreement.pdf,3,Remuneration,"3. 
Remuneration 
[NAME OF COMPANY] 
[EMPLOYEE] 
 
 
 
 
 
5 
3.1.1 
In consideration of the Employee agreeing to act as an employee of the Company, 
subject to the provisions of Companies Act, 20133 and the rules made thereunder and 
subject to the provisions of the Memorandum of Association, Articles of Association of 
the Company the Company shall pay to the Employee a consolidated remuneration on 
cost to company basis of Rs. [.] (Rupees [.]) per month with effect from [.] and which 
shall be revised by the Board or any committee created and empowered by the Board 
for the same, from time to time at its discretion.  
3.1.2 
All forms of compensation or benefits paid to the Employee hereunder shall be subject 
to all applicable taxes and the Company may withhold any amounts payable under this 
Agreement and such taxes as shall be required to be withheld pursuant to any 
applicable law or regulation.",3
Template_Employment_Agreement.pdf,4,Leave & Holidays,"4. 
Leave & Holidays 
Employee shall be entitled to minimum of 30 paid days of annual leave in addition to 
other holidays, casual leave, etc in accordance with the terms of the human resource 
policy of the Company.",3
Template_Employment_Agreement.pdf,5,Intellectual Property,"5. 
Intellectual Property  
If at any time in the course of Employee’s employment under this Agreement makes or 
discovers or participates in the making or discovery of any Intellectual Property, the 
same shall be treated as services for hire. The Employee shall disclose the full details of 
the Intellectual Property in writing to the Company and the Intellectual Property shall be 
the property of the Company who shall own all rights in such Intellectual Property. At 
the request of the Company, Employee shall give and supply all such information, data 
and assistance as may be necessary or in the opinion of the Company desirable to 
enable the Company to exploit the Intellectual Property. Company and Employee shall 
execute all documents including power of attorney and do all things which may, in the 
opinion of Company, be necessary or desirable for obtaining protection for the 
Intellectual Property.",5
Template_Employment_Agreement.pdf,6,Entire Agreement,"6. 
Entire Agreement 
6.1 
This Agreement contains the entire understanding of the Employee and the Company 
with respect to the employment of the Employee by the Company and supersedes any 
and all prior understandings, written or oral, between the Employee and the 
Company. Any such prior understandings or agreements are hereby terminated and 
are of no further force and effect. This Agreement may not be amended, waived, 
discharged or terminated orally, but only by an instrument in writing, specifically 
identified as an amendment to this Agreement, and signed by the Employee and a duly 
authorized officer of the Company with the prior consent of the Board. By entering 
into this Agreement, the Employee certifies and acknowledges that he has carefully 
                                                 
3 At Director Level 
[NAME OF COMPANY] 
[EMPLOYEE] 
 
 
 
 
 
6 
read all of the provisions of this Agreement and that he voluntarily and knowingly 
enters into said Agreement.  
6.2 
This Agreement shall be subject to the provisions of the Memorandum of Association, 
Articles of Association of the Company and SSHA. In the event of any provision of this 
Agreement contradicts with the provisions of the Memorandum of Association, 
Articles of Association of the Company and SSHA the provisions of Memorandum of 
Association, Articles of Association of the Company and SSHA shall prevail.",8
Template_Employment_Agreement.pdf,7,Representations and Warranties,"7. 
Representations and Warranties 
7.1 
The Employee represents and warrants to the Company that he is not bound by any 
restrictive covenants, including but not limited to non-competition, non-disclosure and 
non-solicitation covenants, which will have a restriction on his services under this 
Agreement, other than those contained in this Agreement. The Employee agrees to 
indemnify and hold harmless the Company for any liability the Company may incur as 
a result of the existence of any other such covenants, obligations or commitments.",4
Template_Employment_Agreement.pdf,8,Termination,"8. 
Termination 
8.1 
Subject to Clause 1A, this Agreement may be terminated, either: 
8.1.1 
by the Company, at any time, by giving to the Employee not less than 4 (four) 
weeks prior written notice; or  
8.1.2 
by the Employee at any time, by giving to the Company not less than 12 
(twelve) weeks prior written notice.  
8.2 
The Company may forthwith, without prior notice and without prejudice to its other 
remedies, terminate this Agreement, if the Employee: 
8.2.1 
is deemed to have been disqualified to act as director under section 164 of the 
Companies Act, 20134;  
8.2.2 
absents himself from all the meetings of the Board of Directors held during a 
period of twelve months with or without seeking leave of absence of the 
Board;5  
8.2.3 
negligently or fraudulently commits any other material breach of his 
obligations under this Agreement, Memorandum of Association, Articles of 
Association and the laws as in force; 
8.2.4 
where he is found guilty of moral turpitude, wilful misconduct, commits fraud, 
or any other similar reasons after a due and proper inquiry conducted in the 
regard; 
                                                 
4 If appointed at Director level 
5 If appointed at Director level 
[NAME OF COMPANY] 
[EMPLOYEE] 
 
 
 
 
 
7 
8.2.5 
by his actions or omissions affects the name or reputation of the Company 
into serious disrepute or prejudices the interests of the Business of the 
Company;  
8.3 
The Employee shall, upon termination of this Agreement at any time: 
8.3.1 
not represent himself as being in any way connected with or interested in the 
Business or the Company;  
8.3.2 
return in good condition and order all of the Company’s property in his 
possession, if any which may be in his custody, use, care or charge;  
8.3.3 
resign (without prejudice to any claims which the Employee may have against 
the Company arising out of this Agreement or the termination thereof) from 
all appointments or offices which he holds as nominee or representative of the 
Company, if any; and 
8.3.4 
not retain any copies (including electronic or hard copies) or any other 
property which contains or refers to Confidential Information of the Company. 
8.4 
Termination of Employment for Disability.  Subject to Clause 1A, during the Term, the 
Employee’s employment may be terminated by the Company at any time by giving 
prior written notice of ninety (90) days to the employee or his representatives upon 
failure by the Employee to substantially perform his duties hereunder, as a result of 
physical or mental incapacity (hereinafter referred to as “Disability”), if such Disability 
continues for more than three (3) consecutive months or an aggregate of more than 
four (4) months in any Financial Year (such disability, “Permanent Disability”). 
8.5 
Notwithstanding the termination of this Agreement, Clause 9 (Confidentiality), Clause 
10 (Indemnity), Clause 11.2 (Accrued rights) and Clause 11.3 (regarding dispute 
resolution) of this Agreement shall survive such termination and continue to bind the 
Parties. 
8.6 
Upon the termination of this Agreement, however caused, the Company shall cause to 
file the necessary forms/returns for reporting the resignation of the Employee from 
the Board.",8
Template_Employment_Agreement.pdf,9,Confidentiality,"9. 
Confidentiality 
9.1 
The Employee agrees that he shall be privy to Confidential Information from time to 
time in the discharge of his duties, functions and responsibilities as the employee of 
the Company. 
9.2 
The Employee shall not, except in the proper performance of his duties, functions and 
responsibilities as assigned from time to time by the Board or under this Agreement or 
otherwise, either during the Term or at any time after the termination of this 
Agreement (howsoever caused), without the prior written consent of the Board, use 
for his own benefit or for the benefit of any other Person (other than the Company or 
any Affiliate) or, except as required by law, a court or tribunal of competent 
jurisdiction or any applicable regulatory or statutory authority or body, to evidence the 
[NAME OF COMPANY] 
[EMPLOYEE] 
 
 
 
 
 
8 
proper discharge of his duties as an employee/[director] of the Company, directly or 
indirectly divulge or disclose to any Person (other than any Person employed by the 
Company or any Affiliate including, for the avoidance of doubt, any professional or 
other advisor appointed by the Company or any Affiliate), any Confidential 
Information which has come or may come to  his knowledge during his Term or 
previously or otherwise.  
9.3 
All rights, title and interest in and to the Confidential Information shall remain the 
exclusive property of the Company or, where appropriate, any Affiliate, and the 
Employee shall not, during his Term (otherwise than in the proper performance of  his 
duties) or at any time after the date of termination of this Agreement (however 
caused), directly or indirectly, use, divulge, export, publish or communicate to any 
person, firm, company or other organisation any Confidential Information for any 
purpose whatsoever and shall use  his best endeavours to prevent its unauthorised 
publication, use or disclosure. This obligation shall be in addition to and not in 
derogation or substitution of any express or implied duty of confidentiality owed by 
the Employee to the Company or any Affiliate. 
9.4 
This Clause shall survive termination to the extent of any Confidential Information 
which has not been made public or has not been sought by any competent court or 
government authority.",5
Template_Employment_Agreement.pdf,10,Indemnity,"10. 
Indemnity 
10.1 
The Employee represents and warrants to the Company that he is not bound by any 
restrictive covenants, including but not limited to non-competition, non-disclosure and 
non-solicitation covenants, which will have a restriction on his services under this 
Agreement, other than those contained in this Agreement. The Employee agrees to 
indemnify and hold harmless the Company for any liability the Company may incur as 
a result of the existence of any other such covenants, obligations or commitments.  
10.2 
The indemnity contained in this Clause shall be governed exclusively by and construed 
according to the laws of India and the courts in Kolkata shall have exclusive jurisdiction 
for all proceedings arising out this indemnity.",4
Template_Employment_Agreement.pdf,11,Miscellaneous,"11. 
Miscellaneous  
11.1 
No Assignment 
The Employee’s obligations under this Agreement are personal in nature and shall not 
be assigned or transferred by the Employee. 
11.2 
Accrued rights  
The expiration or termination of this Agreement however arising, shall not operate to 
affect such of the provisions of this Agreement as are expressed to operate or have 
effect after then and shall be without prejudice to any accrued rights or remedies of 
the Parties.  
11.3 
Arbitration, Governing law and Jurisdiction 
[NAME OF COMPANY] 
[EMPLOYEE] 
 
 
 
 
 
9 
11.3.1 
In the event that there arises any dispute, difference, claim or question 
(“Dispute”) at any time arising between the Parties in relation to or arising 
out of this Agreement, the Dispute shall be finally settled through 
arbitration. A sole arbitrator shall be appointed jointly by the Parties within 
30 (thirty) days from the date of expiry of 45 (forty-five) days from the date 
of service of the request. If the Parties cannot reach an agreement with 
respect to the sole arbitrator to be appointed within 30 (thirty) days then 
each Party shall appoint one arbitrator each and both the appointed 
arbitrators shall appoint the third arbitrator. The arbitration shall be held in 
accordance with the provisions of the Indian Arbitration and Conciliation 
Act, 1996 or any statutory modification or re-enactment thereof. The venue 
of arbitration shall be Kolkata and the proceedings shall be in the English 
language. Award published in accordance with above, shall be final and 
binding on the Parties. 
11.3.2 
This document is governed by Indian Law and subject to Clause 11.3.1, each 
of the Parties shall hereby submit to the exclusive jurisdiction of the courts 
at Kolkata.  
11.4 
Notices  
A notice, consent, information or request that must or may be given or made to a Party 
is only given or made if it is delivered or posted to that Party at the address stated 
above in this Agreement.  
11.5 
Severability  
If a Clause or part of a Clause can be read in a way that makes it illegal, unenforceable 
or invalid, but can also be read in a way that makes it legal, enforceable and valid, it 
must be read in the latter way. If any Clause or part of a Clause is illegal, 
unenforceable or invalid, that Clause or part is to be treated as removed from this 
Agreement but the rest of this Agreement shall not be affected. 
11.6 
Variation 
 Subject to the Memorandum of Association, Articles of Association of the Company and 
SSHA this Agreement may be varied by the Parties in writing.  
11.7 
Waiver 
No failure to exercise, nor delay or omission by any Party in exercising, any right, power 
or remedy conferred on it under this Agreement or provided by applicable law shall 
except with the express written consent of that Party affect that right, power or remedy 
or operate as a waiver of it.  No single or partial exercise by any Party of any right, 
power or remedy shall prevent any further exercise of that right, power or remedy or 
the exercise of any other right, power or remedy. 
11.8 
Counterparts 
[NAME OF COMPANY] 
[EMPLOYEE] 
 
 
 
 
 
10 
This Agreement may be executed in one or more counterparts, all of which shall be 
considered one and the same agreement and shall become effective when one or 
more such counterparts have been signed by each of the Parties and delivered to the 
other Parties. 
 
[NAME OF COMPANY] 
[EMPLOYEE] 
 
 
 
 
 
11 
IN WITNESS whereof the Company and the Employee have executed this Agreement on the 
day and year first hereinbefore written. 
 
SIGNED AND DELIVERED by 
[.] 
By the hand of [.] pursuant to the board resolution 
passed on [.]  
] 
] 
] 
] 
] 
 
In the presence of: 
Witness: 
] 
] 
] 
] 
] 
 
SIGNED AND DELIVERED by  
[.] (DIN/PAN [.]) 
In the presence of: 
Witness: 
] 
] 
] 
] 
]",8
vendor_agreement_-_willow_tree_pruning_21.4.22.pdf,1,A.,"1. 
A.  
Services.  The services to be performed by VENDOR under this 
Agreement are set forth in Exhibit A, which is, by this reference, 
incorporated herein and made a part hereof as though it were fully set 
forth herein. 
 
Performance of the work specified in said Exhibit A is hereby made an 
obligation of VENDOR under this Agreement, subject to any changes that 
may be made subsequently hereto upon the mutual written agreement of 
the said parties. 
 
Where in conflict, the terms of this Agreement supersede and prevail over 
any terms set forth in Exhibit A.   
 
B.  
Product. The product to be supplied by VENDOR under this 
Agreement is set forth in Exhibit A which is, by this reference, incorporated 
herein and made a part hereof as though it were fully set forth herein. 
 
Timely delivery of the product specified in said Exhibit A is hereby made 
an obligation of VENDOR under this Agreement, subject to any changes 
that may be made subsequently hereto upon the mutual written 
agreement of the said parties.",1
vendor_agreement_-_willow_tree_pruning_21.4.22.pdf,2,Term; Termination. (a) The term of this Agreement shall commence upon,"2. 
Term; Termination. (a) The term of this Agreement shall commence upon 
the date hereinabove written and shall expire upon the date enumerated in 
2 
Updated 12/9/2020 
 
 
Exhibit A, delivery of the product or completion of performance of services 
hereunder by VENDOR, whichever date shall first occur. 
(b) Notwithstanding the provisions of (a) above, either party may terminate 
this Agreement without cause by giving written notice not less than thirty 
(30) days prior to the effective date of termination, which date shall be 
included in said notice. CITY shall compensate VENDOR for any product 
delivered and/or for services rendered, and reimburse VENDOR for costs 
and expenses incurred, to the date of termination, calculated in 
accordance with the provisions of paragraph 3. In ascertaining the 
services actually rendered to the date of termination, consideration shall 
be given both to completed work and work in process of completion. 
Nothing herein contained shall be deemed a limitation upon the right of 
CITY to terminate this Agreement for cause, or otherwise to exercise such 
rights or pursue such remedies as may accrue to CITY hereunder.",1
vendor_agreement_-_willow_tree_pruning_21.4.22.pdf,3,Compensation; Expenses; Payment.  CITY shall compensate VENDOR,"3. 
Compensation; Expenses; Payment.  CITY shall compensate VENDOR 
for all products supplied or services performed by VENDOR hereunder as 
shown in Exhibit B attached hereto and by this reference incorporated 
herein. 
 
Notwithstanding the foregoing, the combined total of compensation and 
reimbursement of costs payable hereunder shall not exceed the sum 
_____________________ ($________________). Invoices for amounts in 
excess of _____________________ ($________________) shall not be 
paid unless additional amounts have been approved in advance of 
supplying the product, performing the services or incurring the costs and 
expenses by CITY’s City Manager (for contracts less than $50,000) or City 
Council (for contracts $50,000 or more) evidenced by motion duly made 
and carried and a written contract amendment having been executed. 
 
Compensation and reimbursement of costs and expenses hereunder shall 
be payable upon VENDOR meeting contract milestones as defined in 
Exhibit B. Billing shall include an itemized statement, briefly describing by 
task and labor category or cost/expense items billed.",6
vendor_agreement_-_willow_tree_pruning_21.4.22.pdf,4,Additional Services. In the event CITY desires the delivery of additional,"4. 
Additional Services. In the event CITY desires the delivery of additional 
products or performance of additional services not otherwise included 
within Exhibit A, such products or services shall be authorized in advance 
by CITY’s City Manager (for contracts less than $50,000) or City Council 
(for contracts $50,000 or more) by motion duly made and carried. Such 
amendment to this Agreement shall include a description of the product to 
be delivered or services to be performed thereunder, the maximum 
compensation and reimbursement of costs and expenses payable 
therefor, the time of performance thereof, and such other matters as the 
parties deem appropriate. Except to the extent modified by written 
3 
 
 
 
amendment, all other terms and conditions of this Agreement shall be 
deemed incorporated in each such amendment.",7
vendor_agreement_-_willow_tree_pruning_21.4.22.pdf,5,Records. VENDOR shall keep and maintain accurate records of products,"5. 
Records. VENDOR shall keep and maintain accurate records of products 
delivered or of all time expended in performing services and costs and 
expenses incurred relating thereto. Said records shall be available to CITY 
for review and copying during regular business hours at VENDOR’s place 
of business or as otherwise agreed upon by the parties.",1
vendor_agreement_-_willow_tree_pruning_21.4.22.pdf,6,Authorization.  This Agreement becomes effective when endorsed by both,"6. 
Authorization.  This Agreement becomes effective when endorsed by both 
parties in the space provided below.",7
vendor_agreement_-_willow_tree_pruning_21.4.22.pdf,7,"Documents. All documents, plans, drawings, renderings, and other","7. 
Documents. All documents, plans, drawings, renderings, and other 
papers, or copies thereof, as finally rendered, prepared by VENDOR 
pursuant to the terms of this Agreement, shall, upon preparation and 
delivery to CITY, become the property of CITY",1
vendor_agreement_-_willow_tree_pruning_21.4.22.pdf,8,Relationship of Parties.  It is understood that the relationship of VENDOR,"8. 
Relationship of Parties.  It is understood that the relationship of VENDOR 
to the CITY is that of an independent contractor and all persons working 
for or under the direction of VENDOR are its agents or employees and not 
agents or employees of the CITY.",1
vendor_agreement_-_willow_tree_pruning_21.4.22.pdf,9,Schedule. VENDOR shall adhere to the schedule set forth in Exhibit A;,"9. 
Schedule. VENDOR shall adhere to the schedule set forth in Exhibit A; 
provided, that CITY shall grant reasonable extensions of time for the 
delivery of products or performance of services occasioned by 
governmental reviews of VENDOR’s work product or other unavoidable 
delays; provided, further, that such unavoidable delay shall not include 
strikes, lockouts, work stoppages, or other labor disturbances conducted 
by, or on behalf of, VENDOR’s officers or employees. 
 
VENDOR acknowledges the importance to CITY of timely delivery of 
products or services and agrees to put forth its best professional efforts to 
perform in a manner consistent with that schedule.",1
vendor_agreement_-_willow_tree_pruning_21.4.22.pdf,10,"Indemnity. To the fullest extent allowed by law, VENDOR hereby agrees","10. 
Indemnity. To the fullest extent allowed by law, VENDOR hereby agrees 
to defend, indemnify, and save harmless CITY and Estero Municipal 
Improvement District, its Council, boards, commissions, officers, 
employees and agents, from and against any and all claims, suits, actions 
liability, loss, damage, expense, cost (including, without limitation, costs 
and fees of litigation) of every nature, kind or description, which may be 
brought against, or suffered or sustained by, CITY or Estero Municipal 
Improvement District, its Council, boards, commissions, officers, 
employees or agents caused by, or alleged to have been caused by, the 
negligence, intentional tortuous act or omission, or willful misconduct of 
VENDOR, its officers, employees, subcontractors or agents in the 
performance of any services or work pursuant to this Agreement. 
4 
 
 
 
 
The duty of VENDOR to indemnify and save harmless, as set forth herein, 
shall include the duty to defend as set forth in Section 2778 of the 
California Civil Code; provided, however, that nothing herein contained 
shall be construed to require VENDOR to indemnify CITY and Estero 
Municipal Improvement District, its Council, boards, commissions, officers, 
employees and agents against any responsibility or liability in 
contravention of Section 2782 of the California Civil Code. 
 
VENDOR’s responsibility for such defense and indemnity obligations shall 
survive the termination or completion of this Agreement for the full period 
of time allowed by law. 
 
The defense and indemnification obligations of this agreement are 
undertaken in addition to, and shall not in any way be limited by, the 
insurance obligations contained within this Agreement.",4
vendor_agreement_-_willow_tree_pruning_21.4.22.pdf,11,"Insurance. VENDOR shall acquire and maintain Workers’ Compensation,","11. 
Insurance. VENDOR shall acquire and maintain Workers’ Compensation, 
employer’s liability, commercial general liability, owned and non-owned 
and hired automobile liability insurance coverage relating to VENDOR’s 
services to be performed hereunder covering CITY’s risks in form subject 
to the approval of the City Attorney and/or CITY’s Risk Manager. The 
minimum amounts of coverage corresponding to the aforesaid categories 
of insurance per insurable event shall be as follows: 
 
Insurance Category  
 
Minimum Limits 
 
Workers’ Compensation 
statutory minimum 
 
Employer’s Liability 
$1,000,000 
per 
accident 
for 
bodily injury or disease 
 
Commercial General 
$1,000,000 per occurrence and  
Liability 
$2,000,000 aggregate for bodily 
injury, 
personal 
injury 
and 
property damage 
 
Automobile Liability 
$1,000,000 
per 
accident 
for 
bodily 
injury 
and 
property 
damage (coverage required to 
the extent applicable to  
VENDOR’s vehicle usage in  
performing services hereunder) 
 
It shall be a requirement under this Agreement that any available 
insurance proceeds broader than or in excess of the specified minimum 
5 
 
 
 
insurance coverage requirements and/or limits shall be available to the 
CITY as an Additional Insured.  Furthermore, the requirements for 
coverage and limits shall be the greater of either (1) the minimum 
coverage and limits specified in this Agreement or (2) the broader 
coverage and maximum limits of coverage of any insurance policy or 
proceeds available to the named Insured.  
 
VENDOR agrees to include with all subcontractors in their subcontracts 
the same requirements and provisions of this agreement including the 
indemnity and insurance requirements to the extent they apply to the 
scope of the subcontractor’s work.  Subcontractors hired by VENDOR 
shall agree to be bound to VENDOR and CITY in the same manner and to 
the same extent as VENDOR is bound to CITY under this Agreement and 
its accompanying documents.  Subcontractors shall further agree to 
include these same provisions with any sub-subcontractors.  A copy of the 
indemnity and insurance provisions of this Agreement will be furnished to 
the Subcontractor upon request.  VENDOR shall require all subcontractors 
to provide a valid certificate of insurance and the required endorsements 
included in the subcontract agreement and will provide proof of 
compliance to the CITY prior to commencement of any work by the 
subcontractor. 
 
Concurrently with the execution of this Agreement, VENDOR shall, on the 
Insurance Coverage form provided in Exhibit D, or equivalent, furnish 
CITY with certificates and copies of all declaration and endorsement 
pages for the insurance policy or policies required hereunder.  With 
respect to commercial general liability and automobile liability insurance 
coverage, VENDOR must obtain and provide the following original 
endorsements: 
 
(a) 
Precluding cancellation or reduction in per occurrence limits before 
the expiration of thirty (30) days (10 days for nonpayment) after 
CITY shall have received written notification of cancellation in 
coverage or reduction in per occurrence limits by first class mail; 
 
(b) 
Naming the CITY and Estero Municipal Improvement District, its 
Council, officers, boards, commissions, employees, and agents, as 
additional insureds; and  
 
(c) 
Providing the additional insured coverage under VENDOR’s 
insurance policy shall be primary and non-contributory insurance 
with respect to CITY and Estero Municipal Improvement District, its 
Council, officers, boards, commissions, employees, and agents, 
and any insurance or self-insurance maintained by CITY for itself, 
its Council, officers, boards, commissions, employees, or agents 
shall be in excess of VENDOR’s insurance and not contributory 
6 
 
 
 
with it.  VENDOR and its insurer may not seek contribution from 
CITY’s insurance or self-insurance. 
 
The limits of insurance required in this agreement may be satisfied by a 
combination of primary and umbrella or excess insurance.  Any umbrella 
or excess insurance shall contain or be endorsed to contain a provision 
that such coverage shall also apply on a primary and non-contributory 
basis for the benefit of CITY, to the extent required by this Agreement, 
before the CITY’s insurance or self-insurance may be called upon to 
protect CITY as a named Insured. 
 
All self-insured retentions (SIR) must be disclosed to CITY for approval 
and shall not reduce the limits of liability coverage.  Policies containing 
and SIR provision shall provide or be endorsed to provide that the SIR 
may be satisfied by either the named VENDOR/Named Insured or CITY.   
 
CITY reserves the right to obtain a full certified copy of any insurance 
policy and endorsements.  Failure to exercise this right shall not constitute 
a waiver of right to exercise later. 
 
Any and all Subcontractors shall agree to be bound to VENDOR and CITY 
in the same manner and to the same extent as VENDOR is bound to CITY 
under this Agreement.  Subcontractors shall further agree to include the 
same requirements and provisions of this Agreement, including the 
indemnity and insurance requirements, in any agreement with sub-
subcontractors to the extent that they apply to the scope of the sub-
subcontractor’s work.  A copy of the indemnity and insurance provisions of 
this Agreement shall be furnished to any subcontractor upon request. 
 
VENDOR shall maintain insurance as required by this Agreement to the 
fullest amount allowed by law and shall maintain insurance for a minimum 
of five (5) years following completion of this project or service.  In the 
event VENDOR fails to obtain or maintain completed operations coverage 
as required by this Agreement, the CITY at its sole discretion may 
purchase the coverage required and the cost will be paid by VENDOR.",4
vendor_agreement_-_willow_tree_pruning_21.4.22.pdf,12,WORKERS' COMPENSATION.  VENDOR certifies that he is aware of the,"12. 
WORKERS' COMPENSATION.  VENDOR certifies that he is aware of the 
provisions of the Labor Code of the State of California which require every 
employer to be insured against liability for workers' compensation or to 
undertake self-insurance in accordance with the provisions of that Code, 
and VENDOR certifies that he will comply with such provisions before 
commencing the performance of the work of this agreement.",4
vendor_agreement_-_willow_tree_pruning_21.4.22.pdf,13,NON-DISCRIMINATION.  The VENDOR will not discriminate against any,"13. 
NON-DISCRIMINATION.  The VENDOR will not discriminate against any 
employee or applicant for employment because of race, color, religion, sex 
or national origin.  The VENDOR will take affirmative action to ensure that 
7 
 
 
 
applicants are employed and the employees are treated during 
employment without regard to their race, color, religion, sex or national 
origin.  Such action shall include, but not be limited to the following:  
employment, advancement, demotion, transfer, recruitment, or recruitment 
advertising, layoff or termination, rates of pay or other forms of 
compensation, and selection for training, including apprenticeship.  The 
VENDOR shall at all times be in compliance with the requirements of the 
Federal Americans With Disabilities Act (Public Law 101-336) which 
prohibits discrimination on the basis of disability by public entities.  The 
VENDOR agrees to post in conspicuous places available to employees 
and applicants for employment any notices provided by the CITY setting 
forth the provisions of this non-discrimination clause.",4
vendor_agreement_-_willow_tree_pruning_21.4.22.pdf,14,Notice.  All notices required by this Agreement shall be given to the CITY,"14. 
Notice.  All notices required by this Agreement shall be given to the CITY 
and VENDOR in writing, by first class mail, postage prepaid, addressed as 
follows: 
 
CITY:  
 
City of Foster City 
610 Foster City Boulevard 
Foster City, CA 94404-2299 
Attention: Frank Fanara 
 
VENDOR: 
Name 
Address 
City, State, Zip 
Attention: _____________ 
Email Address:_________",9
vendor_agreement_-_willow_tree_pruning_21.4.22.pdf,15,Non-Assignment.  This Agreement is not assignable either in whole or in,"15. 
Non-Assignment.  This Agreement is not assignable either in whole or in 
part.",9
vendor_agreement_-_willow_tree_pruning_21.4.22.pdf,16,Amendments.  This Agreement may be amended or modified only by,"16. 
Amendments.  This Agreement may be amended or modified only by 
written agreement signed by both parties.",7
vendor_agreement_-_willow_tree_pruning_21.4.22.pdf,17,Validity.  The invalidity in whole or in part of any provision of this,"17. 
Validity.  The invalidity in whole or in part of any provision of this 
Agreement shall not void or affect the validity of any other provision of this 
Agreement.",7
vendor_agreement_-_willow_tree_pruning_21.4.22.pdf,18,Governing Law.  This Agreement shall be governed by the laws of the,"18. 
Governing Law.  This Agreement shall be governed by the laws of the 
State of California and any suit or action initiated by either party shall be 
brought in the County of San Mateo, California.  In the event of litigation 
between the parties hereto to enforce any provision of the Agreement, the 
unsuccessful party will pay the reasonable attorney’s fees and expenses 
of litigation of the successful party. 
 
8",7
vendor_agreement_-_willow_tree_pruning_21.4.22.pdf,19,"Mediation.  Should any dispute arise out of this Agreement, the parties","19. 
Mediation.  Should any dispute arise out of this Agreement, the parties 
shall meet in mediation and attempt to reach a resolution with the 
assistance of a mutually acceptable mediator.  Neither party shall be 
permitted to file legal action without first meeting in mediation and making 
a good faith attempt to reach a mediated resolution.  The costs of the 
mediator, if any, shall be paid equally by the parties.  If a mediated 
settlement is reached neither party shall be deemed the prevailing party 
for purposes of the settlement and each party shall bear its own legal 
costs.",7
